,dlc명,종합평가(리뷰수)
0,Seasons 리뷰,Mixed (480)
1,City_Living 리뷰,Mixed (253)
2,Parenthood 리뷰,Mixed (101)
3,Vampires 리뷰,Mixed (262)
4,Get Famous 리뷰,Mixed (157)
5,모두함께 놀아요 리뷰,Mostly Positive (113)
6,캠퍼스 라이프 리뷰,Mixed (167)
7,아일랜드 라이프 리뷰,Mixed (146)
8,Cats__Dogs 리뷰,Mixed (510)
9,심즈의 사랑법 리뷰,Mixed (83)
10,Get_To_Work 리뷰,Mixed (226)
11,에코라이프 리뷰,Mixed (98)
12,코티지 라이프 리뷰,Mostly Positive (253)
13,삶과 죽음 리뷰,Mostly Positive (10)
14,북적북적 다세대 주택 리뷰,Mostly Negative (181)
15,그로잉 투게더 리뷰,Mixed (112)
16,캠핑을 떠나요 리뷰,Mixed (45)
17,즐거운 목장 리뷰,Mixed (259)
18,Jungle_Adventure 리뷰,Mixed (36)
19,StrangerVille 리뷰,Mixed (62)
20,하이스쿨 라이프 리뷰,Mixed (291)
21,겨울이야기 리뷰,Mixed (106)
22,Realm_of_Magic 리뷰,Mixed (148)
23,늑대인간 게임팩 리뷰,Mostly Positive (203)
24,Dine_Out 리뷰,Mostly Negative (134)
25,피트니스 아이템팩 리뷰,Mixed (42)
26,Moschino_Stuff 리뷰,Mixed (36)
27,토들러 아이템팩 리뷰,Mixed (25)
28,Tiny_Living_Stuff 리뷰,Mostly Positive (119)
29,마당꾸미기 아이템팩 리뷰,Mixed (35)
30,Spooky_Stuff 리뷰,Mixed (29)
31,Laundry_Day_Stuff 리뷰,Mixed (97)
32,Spa_Day_Game_Pack 리뷰,Mixed (52)
33,빈티지 홈 아이템팩 리뷰,Mixed (90)
34,파라노말 아이템 팩 리뷰,Mostly Positive (96)
35,동화나라 아기방 키트 리뷰,Positive (10)
36,즐거운 주방 아이템 팩 리뷰,Mixed (43)
37,즐거운 볼링 아이템팩 리뷰,Mostly Positive (42)
38,영화보는날 아이템 팩 리뷰,Mixed (26)
39,온실가꾸기 키트 리뷰,Mostly Positive (22)
40,완벽한 테라스 아이템 팩 리뷰,Mixed (27)
41,모던 럭셔리 키트 리뷰,Positive (21)
42,키즈룸 아이템 팩 리뷰,Mixed (23)
43,지하실 보물 키트 리뷰,Positive (18)
44,인천공항 패션 키트 리뷰,Mostly Positive (43)
45,책읽는 공간 키트 리뷰,Positive (16)
46,파스텔 팝 키트 리뷰,Positive (33)
47,꼬마 캠퍼 키트 리뷰,Positive (21)
48,코지 비스트로 키트 리뷰,Positive (10)
49,블루밍 룸 키트 리뷰,Mostly Positive (58)
50,고스 스타일 키트 리뷰,Mostly Positive (56)
51,인더스트리얼 스타일 키트 리뷰,Mixed (35)
52,럭셔리 파티 아이템 팩 리뷰,Mixed (14)
53,중세의 성 키트 리뷰,Mostly Positive (23)
54,일상소품 키트 리뷰,Mixed (21)
55,컨트리 키친 키트 리뷰,Mixed (27)
56,파티 용품 키트 리뷰,Mixed (11)
57,로맨틱 가든 아이템팩 리뷰,Mixed (30)
58,반짝반짝 크리스탈 아이템팩 리뷰,Positive (40)
59,언더웨어 컬렉션 키트 리뷰,Mostly Positive (16)
60,나의 드림하우스 게임팩 리뷰,Mixed (140)
61,욕실용품 키트 리뷰,Mixed (19)
62,신나는 물놀이 키트 리뷰,Positive (10)
63,코트야드 오아시스 키트 리뷰,Mostly Positive (25)
64,꼬마 멋쟁이 키트 리뷰,Positive (10)
65,"디지털 디럭스 업그레이드 (업 올 나이트, 라이프 오브 더 파티) 리뷰",Mostly Positive (31)
66,그런지 스타일 키트 리뷰,Mostly Positive (19)
67,카니발 스트리트웨어 키트 리뷰,Positive (19)
68,문라이트 패션 키트 리뷰,Mixed (22)
69,홀리데이 크리에이션 팩 리뷰,Very Positive (704)
70,레트로 패션 키트 리뷰,Mixed (20)
71,우리집 셰프 아이템 팩 리뷰,Positive (46)
72,뚝딱뚝딱 뜨개질 아이템 팩 리뷰,Mixed (62)
73,코지 키치 키트 리뷰,3 user reviews
74,아티스트 스튜디오 키트 리뷰,9 user reviews
75,이번 오마주 키트 리뷰,Positive (10)
76,화려한 사막 키트 리뷰,6 user reviews
77,리비에라에서의 휴가 키트 리뷰,9 user reviews
78,모던 맨즈웨어 키트 리뷰,Mostly Negative (18)
79,나의 결혼이야기 게임팩 리뷰,Very Negative (118)
80,즐거운 파자마 파티 키트 리뷰,4 user reviews
81,패션 스트리트 키트 리뷰,9 user reviews
82,마이 퍼스트 펫 스터프 리뷰,Mostly Negative (59)
83,맥시멀 데코 키트 리뷰,Mixed (23)
84,대청소의 날 리뷰,Mostly Negative (78)
85,스타워즈 바투 행성의 모험 게임팩 리뷰,Mixed (121)
